QueryID,Tables,lpbound_Estimate
150,MI MK,1597.9838360734288
150,MI MK T,1174.9356416905207
151,MI T,3185.000000000002
151,MK T,222.48540483348185
151,MI MK,1590071.822997514
151,MI MK T,5438.498320350709
152,MI T,109033.99999999981
152,MK T,145251.00000000006
152,MI MK,23948694.308363907
152,MI MK T,6141502.693184621
153,MI T,3193.9999999999964
153,MK T,184.64341611013631
153,MI MK,48135.417871336
153,MI MK T,3638.679860535175
154,MI T,16603.0
154,MK T,147.0
154,MI MK,387.99946370678936
154,MI MK T,387.99946370678936
155,MI T,109033.99999999981
155,MK T,1115.9999999999995
155,MI MK,63134.930363468404
155,MI MK T,63134.930363468404
156,MI T,486553.9999999987
156,MK T,1055.0
156,MI MK,35047.15410868918
156,MI MK T,35047.15410868918
157,MI T,2127.0
157,MK T,1750.9999999999998
157,MI MK,31173600.25174889
157,MI MK T,96648.79872949945
158,MI T,6662742.000000004
158,MK T,894.9999999999997
158,MI MK,425170.96813208086
158,MI MK T,339208.8045348841
159,MI T,1955.5261595763934
159,MK T,116.47317287684751
159,MI MK,2328.120059850124
159,MI MK T,2233.003298524891
160,MI T,147487.00000000012
160,MK T,183641.0000000002
160,MI MK,30162208.043085847
160,MI MK T,7577976.441845188
161,MI T,486553.9999999999
161,MK T,2886675.0
161,MI MK,31173600.25174889
161,MI MK T,28535927.46232159
162,MI T,598457.0000000003
162,MK T,1039.9999999999986
162,MI MK,144802.25098388494
162,MI MK T,144802.25098388494
163,MI T,248769.2965570704
163,MK T,208284.99999999983
163,MI MK,13703225.12761578
163,MI MK T,1244908.7977824188
164,MI T,368217.9999999999
164,MK T,1206.999999999999
164,MI MK,86872.89096441079
164,MI MK T,86872.89096441079
165,MI T,999852.3422422584
165,MK T,6789.999999999992
165,MI MK,40002.81963257711
165,MI MK T,40002.81963257711
166,MI_IDX T,262144.0
166,MK T,420.00000000000017
166,MI_IDX MK,420.00000000000017
166,MI_IDX MK T,420.00000000000017
167,MI_IDX T,405467.99999999977
167,MK T,132.00000000000009
167,MI_IDX MK,528.0000000000003
167,MI_IDX MK T,396.0000000000007
168,MI_IDX T,262144.0
168,MK T,3797.0000000000045
168,MI_IDX MK,3797.0
168,MI_IDX MK T,3797.0000000000045
169,MI_IDX T,16384.0
169,MK T,145251.00000000006
169,MI_IDX MK,4523930.000000002
169,MI_IDX MK T,145251.00000000006
170,MI_IDX T,16384.0
170,MK T,132.00000000000009
170,MI_IDX MK,132.0
170,MI_IDX MK T,132.00000000000009
171,MI_IDX T,111146.99999999994
171,MK T,742.9999999999995
171,MI_IDX MK,2676.0572761561207
171,MI_IDX MK T,2228.9999999999986
172,MI_IDX T,65536.0
172,MK T,175527.99999999994
172,MI_IDX MK,4523930.000000002
172,MI_IDX MK T,175527.99999999994
173,MI_IDX T,8192.0
173,MK T,72797.00000000003
173,MI_IDX MK,4523930.000000002
173,MI_IDX MK T,72796.99999999985
174,MI_IDX T,32768.0
174,MK T,21404.896031686763
174,MI_IDX MK,72496.00000000001
174,MI_IDX MK T,21404.896031686763
175,MI_IDX T,629900.0000000003
175,MK T,34710.00000000006
175,MI_IDX MK,111693.08841986497
175,MI_IDX MK T,111693.08841986497
176,MI_IDX T,250.0
176,MK T,556.0000000000005
176,MI_IDX MK,250.0
176,MI_IDX MK T,250.0
177,MI_IDX T,65536.0
177,MK T,2012.9999999999968
177,MI_IDX MK,2012.9999999999993
177,MI_IDX MK T,2012.9999999999968
178,MI_IDX T,131072.0
178,MK T,132.00000000000009
178,MI_IDX MK,132.0
178,MI_IDX MK T,132.00000000000009
179,MI_IDX T,64.0
179,MK T,1750.9999999999998
179,MI_IDX MK,4523930.000000002
179,MI_IDX MK T,1750.9999999999998
180,MI_IDX T,4096.0
180,MK T,9171.999999999998
180,MI_IDX MK,4523930.000000002
180,MI_IDX MK T,9171.999999999998
181,MI_IDX T,128.0
181,MK T,498.9999999999999
181,MI_IDX MK,4523930.000000002
181,MI_IDX MK T,498.9999999999999
182,MI_IDX T,25937.999999999978
182,MK T,483.00000000000017
182,MI_IDX MK,1761.8759392536592
182,MI_IDX MK T,1449.0000000000005
183,MI_IDX T,1178.9999999999998
183,MK T,256.0
183,MI_IDX MK,1260.3764860907227
183,MI_IDX MK T,767.999999999999
184,MI_IDX T,262144.0
184,MK T,132.00000000000009
184,MI_IDX MK,132.0
184,MI_IDX MK T,132.00000000000009
185,MI_IDX T,16384.0
185,MK T,323.9999999999999
185,MI_IDX MK,323.9999999999995
185,MI_IDX MK T,323.9999999999995
186,MI_IDX T,335.9999999999999
186,MK T,132.00000000000009
186,MI_IDX MK,528.0000000000003
186,MI_IDX MK T,366.1475112574164
187,MI_IDX T,73979.9999999998
187,MK T,91603.99999999984
187,MI_IDX MK,16219594.070239816
187,MI_IDX MK T,274811.9999999998
188,MI_IDX T,459924.99999999965
188,MK T,132.00000000000009
188,MI_IDX MK,132.0
188,MI_IDX MK T,132.00000000000009
189,MI_IDX T,459924.99999999965
189,MK T,5392.000000000001
189,MI_IDX MK,5391.9999999999945
189,MI_IDX MK T,5391.9999999999945
190,MI_IDX T,32768.0
190,MK T,835.0000000000005
190,MI_IDX MK,835.0000000000005
190,MI_IDX MK T,835.0000000000005
191,MI_IDX T,32768.000000000044
191,MK T,477.9999999999998
191,MI_IDX MK,478.00000000000034
191,MI_IDX MK T,478.00000000000034
192,MI_IDX T,262144.0
192,MK T,152.00000000000006
192,MI_IDX MK,151.9999999999999
192,MI_IDX MK T,151.99999999999997
193,MI_IDX T,459924.99999999965
193,MK T,10798.999999999982
193,MI_IDX MK,10798.999999999995
193,MI_IDX MK T,10798.999999999982
194,MI_IDX T,65536.0
194,MK T,306.99999999999983
194,MI_IDX MK,306.99999999999983
194,MI_IDX MK T,306.99999999999983
195,MI_IDX T,2858.999999999998
195,MK T,590.9999999999997
195,MI_IDX MK,2203.281333794984
195,MI_IDX MK T,1772.9999999999989
196,MI_IDX T,1024.0
196,MK T,3589.999999999994
196,MI_IDX MK,4523930.000000002
196,MI_IDX MK T,3589.9999999999895
197,MI_IDX T,629900.0000000003
197,MK T,333.99999999999994
197,MI_IDX MK,1309.5146997041693
197,MI_IDX MK T,1309.5146997041693
198,MI_IDX T,28785.99999999997
198,MK T,514.9999999999999
198,MI_IDX MK,1952.1188889675266
198,MI_IDX MK T,1544.9999999999993
199,MI_IDX T,262144.0
199,MK T,1175.999999999998
199,MI_IDX MK,1175.999999999998
199,MI_IDX MK T,1175.9999999999964
200,MI_IDX T,262144.0
200,MK T,2822.000000000004
200,MI_IDX MK,2822.0000000000005
200,MI_IDX MK T,2822.000000000004
201,MI_IDX T,84.00000000000003
201,MK T,64.00000000000004
201,MI_IDX MK,1451.805555050802
201,MI_IDX MK T,84.00000000000003
202,MI_IDX T,486.99999999999983
202,MK T,132.00000000000009
202,MI_IDX MK,528.0000000000003
202,MI_IDX MK T,395.9999999999997
203,MI_IDX T,262144.0
203,MK T,1904887.9999999998
203,MI_IDX MK,4523930.000000002
203,MI_IDX MK T,1904887.9999999998
204,MI_IDX T,83549.99999999991
204,MK T,3124.0000000000005
204,MI_IDX MK,10235.905817469835
204,MI_IDX MK T,9371.999999999989
205,MI_IDX T,353.99999999999983
205,MK T,127.99999999999991
205,MI_IDX MK,4704.68144977217
205,MI_IDX MK T,353.9999999999994
206,MI_IDX T,262144.0
206,MK T,645460.9999999997
206,MI_IDX MK,4523930.000000002
206,MI_IDX MK T,645460.9999999997
207,MI_IDX T,94612.0000000001
207,MK T,3426.000000000002
207,MI_IDX MK,11065.022344919245
207,MI_IDX MK T,11065.02234491926
208,MI_IDX T,65536.0
208,MK T,14364.000000000025
208,MI_IDX MK,14364.000000000025
208,MI_IDX MK T,14364.000000000044
209,MI_IDX T,425718.00000000047
209,MK T,132.00000000000009
209,MI_IDX MK,528.0000000000003
209,MI_IDX MK T,396.0000000000007
210,MI_IDX T,242.99999999999991
210,MK T,214.43135388539986
210,MI_IDX MK,16186.784467365396
210,MI_IDX MK T,426.14469532594273
211,MI_IDX T,262144.0
211,MK T,166.99999999999997
211,MI_IDX MK,166.99999999999997
211,MI_IDX MK T,166.99999999999997
212,MI_IDX T,262144.0
212,MK T,2886675.0
212,MI_IDX MK,4523930.000000002
212,MI_IDX MK T,2886675.0
213,MI_IDX T,32768.0
213,MK T,154184.00000000015
213,MI_IDX MK,4523930.000000002
213,MI_IDX MK T,154184.00000000015
214,MI_IDX T,32767.99999999996
